indice,sport,evento,impianto,nome_intero,inizio,fine
0,Canottaggio,Batterie Singolo U,Sea Forest Waterway,GENNARO DI MAURO,7/23/2021 1:50,7/23/2021 2:25
1,Tiro con l'arco,Torneo di qualificazione Ind. D,Yumenoshima Park Archery Field,TATIANA ANDREOLI,7/23/2021 2:00,7/23/2021 4:00
2,Tiro con l'arco,Torneo di qualificazione Ind. D,Yumenoshima Park Archery Field,LUCILLA BOARI,7/23/2021 2:00,7/23/2021 4:00
3,Tiro con l'arco,Torneo di qualificazione Ind. D,Yumenoshima Park Archery Field,CHIARA REBAGLIATI,7/23/2021 2:00,7/23/2021 4:00
4,Canottaggio,Batterie Due di coppia D,Sea Forest Waterway,CHIARA ONDOLI,7/23/2021 4:00,7/23/2021 4:25
5,Canottaggio,Batterie Due di coppia D,Sea Forest Waterway,ALESSANDRA PATELLI,7/23/2021 4:00,7/23/2021 4:25
6,Canottaggio,Batterie Quattro di coppia U,Sea Forest Waterway,GIACOMO GENTILI,7/23/2021 4:30,7/23/2021 4:45
7,Canottaggio,Batterie Quattro di coppia U,Sea Forest Waterway,ANDREA PANIZZA,7/23/2021 4:30,7/23/2021 4:45
8,Canottaggio,Batterie Quattro di coppia U,Sea Forest Waterway,LUCA RAMBALDI,7/23/2021 4:30,7/23/2021 4:45
9,Canottaggio,Batterie Quattro di coppia U,Sea Forest Waterway,SIMONE VENIER,7/23/2021 4:30,7/23/2021 4:45
10,Canottaggio,Batterie Quattro di coppia D,Sea Forest Waterway,STEFANIA GOBBI,7/23/2021 4:50,7/23/2021 5:10
11,Canottaggio,Batterie Quattro di coppia D,Sea Forest Waterway,VALENTINA ISEPPI,7/23/2021 4:50,7/23/2021 5:10
12,Canottaggio,Batterie Quattro di coppia D,Sea Forest Waterway,VERONICA LISI,7/23/2021 4:50,7/23/2021 5:10
13,Canottaggio,Batterie Quattro di coppia D,Sea Forest Waterway,ALESSANDRA MONTESANO,7/23/2021 4:50,7/23/2021 5:10
14,Tiro con l'arco,Torneo di qualificazione Ind. U,Yumenoshima Park Archery Field,MAURO NESPOLI,7/23/2021 6:00,7/23/2021 8:00
15,Tiro a Segno,Qualificazioni Carabina 10m D,Asaka Shooting Range,SOFIA CECCARELLO,7/24/2021 1:30,7/24/2021 3:45
16,Scherma,Trentaduesimi Spada D,Makuhari Messe Hall B,ROSSELLA FIAMINGO,7/24/2021 2:00,7/24/2021 2:30
17,Scherma,Trentaduesimi Spada D,Makuhari Messe Hall B,FEDERICA ISOLA,7/24/2021 2:00,7/24/2021 2:30
18,Scherma,Trentaduesimi Spada D,Makuhari Messe Hall B,MARA NAVARRIA,7/24/2021 2:00,7/24/2021 2:30
19,Pallavolo,Italia-Canada / Gruppo A U,Ariake Arena,SIMONE ANZANI,7/24/2021 2:00,7/24/2021 3:45
20,Pallavolo,Italia-Canada / Gruppo A U,Ariake Arena,MASSIMO COLACI,7/24/2021 2:00,7/24/2021 3:45
21,Pallavolo,Italia-Canada / Gruppo A U,Ariake Arena,GIANLUCA GALASSI,7/24/2021 2:00,7/24/2021 3:45
22,Pallavolo,Italia-Canada / Gruppo A U,Ariake Arena,SIMONE GIANNELLI,7/24/2021 2:00,7/24/2021 3:45
23,Pallavolo,Italia-Canada / Gruppo A U,Ariake Arena,OSMANY JUANTORENA,7/24/2021 2:00,7/24/2021 3:45
24,Pallavolo,Italia-Canada / Gruppo A U,Ariake Arena,JIRI KOVAR,7/24/2021 2:00,7/24/2021 3:45
25,Pallavolo,Italia-Canada / Gruppo A U,Ariake Arena,DANIELE LAVIA,7/24/2021 2:00,7/24/2021 3:45
26,Pallavolo,Italia-Canada / Gruppo A U,Ariake Arena,ALESSANDRO MICHIELETTO,7/24/2021 2:00,7/24/2021 3:45
27,Pallavolo,Italia-Canada / Gruppo A U,Ariake Arena,MATTEO PIANO,7/24/2021 2:00,7/24/2021 3:45
28,Pallavolo,Italia-Canada / Gruppo A U,Ariake Arena,RICCARDO SBERTOLI,7/24/2021 2:00,7/24/2021 3:45
29,Pallavolo,Italia-Canada / Gruppo A U,Ariake Arena,LUCA VETTORI,7/24/2021 2:00,7/24/2021 3:45
30,Pallavolo,Italia-Canada / Gruppo A U,Ariake Arena,IVAN ZAYTSEV,7/24/2021 2:00,7/24/2021 3:45
31,Canottaggio,Batterie Due senza D,Sea Forest Waterway,AISHA ROCEK,7/24/2021 2:20,7/24/2021 2:50
32,Canottaggio,Batterie Due senza D,Sea Forest Waterway,KIRI TONTODONATI,7/24/2021 2:20,7/24/2021 2:50
33,Scherma,Trentaduesimi Sciabola U,Makuhari Messe Hall B,ENRICO BERRÈ,7/24/2021 2:30,7/24/2021 2:55
34,Scherma,Trentaduesimi Sciabola U,Makuhari Messe Hall B,LUCA CURATOLI,7/24/2021 2:30,7/24/2021 2:55
35,Scherma,Trentaduesimi Sciabola U,Makuhari Messe Hall B,LUIGI SAMELE,7/24/2021 2:30,7/24/2021 2:55
36,Tiro con l'arco,Ottavi Squadra Mista,Yumenoshima Park Archery Field,MAURO NESPOLI,7/24/2021 2:30,7/24/2021 5:05
37,Tiro con l'arco,Ottavi Squadra Mista,Yumenoshima Park Archery Field,CHIARA REBAGLIATI,7/24/2021 2:30,7/24/2021 5:05
38,Canottaggio,Batterie Due senza U,Sea Forest Waterway,GIOVANNI ABAGNALE,7/24/2021 2:20,7/24/2021 2:50
39,Canottaggio,Batterie Due senza U,Sea Forest Waterway,MARCO DI COSTANZO,7/24/2021 2:20,7/24/2021 2:50
40,Scherma,Sedicesimi Spada D,Makuhari Messe Hall B,ROSSELLA FIAMINGO,7/24/2021 2:55,7/24/2021 4:55
41,Scherma,Sedicesimi Spada D,Makuhari Messe Hall B,FEDERICA ISOLA,7/24/2021 2:55,7/24/2021 4:55
42,Scherma,Sedicesimi Spada D,Makuhari Messe Hall B,MARA NAVARRIA,7/24/2021 2:55,7/24/2021 4:55
43,Canottaggio,Batterie Due di coppia pesi leggeri D,Sea Forest Waterway,FEDERICA CESARINI,7/24/2021 3:20,7/24/2021 3:40
44,Canottaggio,Batterie Due di coppia pesi leggeri D,Sea Forest Waterway,VALENTINA RODINI,7/24/2021 3:20,7/24/2021 3:40
45,Taekwondo,Ottavi -58 kg U,Makuhari Messe Hall A,VITO DELL'AQUILA,7/24/2021 3:28,7/24/2021 7:00
46,Canottaggio,Batterie Due di coppia pesi leggeri U,Sea Forest Waterway,STEFANO OPPO,7/24/2021 3:50,7/24/2021 4:20
47,Canottaggio,Batterie Due di coppia pesi leggeri U,Sea Forest Waterway,PIETRO WILLY RUTA,7/24/2021 3:50,7/24/2021 4:20
48,Ciclismo,Strada - Corsa in linea U,Fuji International Speedway,ALBERTO BETTIOL,7/24/2021 4:00,7/24/2021 11:15
49,Ciclismo,Strada - Corsa in linea U,Fuji International Speedway,DAMIANO CARUSO,7/24/2021 4:00,7/24/2021 11:15
50,Ciclismo,Strada - Corsa in linea U,Fuji International Speedway,GIULIO CICCONE,7/24/2021 4:00,7/24/2021 11:15
51,Ciclismo,Strada - Corsa in linea U,Fuji International Speedway,GIANNI MOSCON,7/24/2021 4:00,7/24/2021 11:15
52,Ciclismo,Strada - Corsa in linea U,Fuji International Speedway,VINCENZO NIBALI,7/24/2021 4:00,7/24/2021 11:15
53,Tennis,Primo Turno Doppio D,Ariake Tennis Park,SARA ERRANI,7/24/2021 4:00,7/24/2021 13:00
54,Tennis,Primo Turno Doppio D,Ariake Tennis Park,JASMINE PAOLINI,7/24/2021 4:00,7/24/2021 13:00
55,Tennis,Primo Turno Singolo D,Ariake Tennis Park,SARA ERRANI,7/24/2021 4:00,7/24/2021 13:00
56,Tennis,Primo Turno Singolo D,Ariake Tennis Park,CAMILA GIORGI,7/24/2021 4:00,7/24/2021 13:00
57,Tennis,Primo Turno Singolo D,Ariake Tennis Park,JASMINE PAOLINI,7/24/2021 4:00,7/24/2021 13:00
58,Tennis,Primo Turno Singolo U,Ariake Tennis Park,FABIO FOGNINI,7/24/2021 4:00,7/24/2021 13:00
59,Tennis,Primo Turno Singolo U,Ariake Tennis Park,LORENZO MUSETTI,7/24/2021 4:00,7/24/2021 13:00
60,Tennis,Primo Turno Singolo U,Ariake Tennis Park,LORENZO SONEGO,7/24/2021 4:00,7/24/2021 13:00
