nome,cognome,disciplina,nome_intero
GIOVANNI,ABAGNALE,Canottaggio,GIOVANNI ABAGNALE
VINCENZO,ABBAGNALE,Canottaggio,VINCENZO ABBAGNALE
AHMED,ABDELWAHED,Atletica,AHMED ABDELWAHED
DOMENICO,ACERENZA,Nuoto,DOMENICO ACERENZA
VLADIMIR,ACETI,Atletica,VLADIMIR ACETI
ALEXANDRA,AGIURGIUCULESE,Ginnastica,ALEXANDRA AGIURGIUCULESE
ANDREA,AGRUSTI,Atletica,ANDREA AGRUSTI
MATTEO,AICARDI,Pallanuoto,MATTEO AICARDI
MARIA GRAZIA,ALEMANNO,Pesi,MARIA GRAZIA ALEMANNO
SIMONE,ALESSIO,Taekwondo,SIMONE ALESSIO
MARTINA,ALZINI,Ciclismo,MARTINA ALZINI
TATIANA,ANDREOLI,Tiro con l'arco,TATIANA ANDREOLI
SIMONE,ANZANI,Pallavolo,SIMONE ANZANI
GIORGIO,AVOLA,Scherma,GIORGIO AVOLA
LORENZO,BACCI,Tiro a Segno,LORENZO BACCI
DIANA,BACOSI,Tiro a Volo,DIANA BACOSI
MILENA,BALDASSARRI,Ginnastica,MILENA BALDASSARRI
STEFANO,BALLO,Nuoto,STEFANO BALLO
ELISA,BALSAMO,Ciclismo,ELISA BALSAMO
CATERINA MARIANNA,BANTI,Vela,CATERINA MARIANNA BANTI
RACHELE,BARBIERI,Ciclismo,RACHELE BARBIERI
FABIO,BASILE,Judo,FABIO BASILE
MARTA,BASTIANELLI,Ciclismo,MARTA BASTIANELLI
MARTINA,BATINI,Scherma,MARTINA BATINI
NOEMI,BATKI,Tuffi,NOEMI BATKI
MICHELA,BATTISTON,Scherma,MICHELA BATTISTON
NADIA,BATTOCLETTI,Atletica,NADIA BATTOCLETTI
LUCA,BECCARO,Canoa,LUCA BECCARO
ALICE,BELLANDI,Judo,ALICE BELLANDI
ELENA,BELLÒ,Atletica,ELENA BELLÒ
LORENZO,BENATI,Atletica,LORENZO BENATI
ENRICO,BERRÈ,Scherma,ENRICO BERRÈ
ELENA,BERTA,Vela,ELENA BERTA
LIAM,BERTAZZO,Ciclismo,LIAM BERTAZZO
ELENA,BERTOCCHI,Tuffi,ELENA BERTOCCHI
MARTA,BERTONCELLI,Canoa,MARTA BERTONCELLI
ALBERTO,BETTIOL,Ciclismo,ALBERTO BETTIOL
ALICE,BETTO,Triathlon,ALICE BETTO
ILARIA,BIANCHI,Nuoto,ILARIA BIANCHI
LUCILLA,BOARI,Tiro con l'arco,LUCILLA BOARI
TOBIA,BOCCHI,Atletica,TOBIA BOCCHI
MICHAEL ALEXANDER,BODEGAS,Pallanuoto,MICHAEL ALEXANDER BODEGAS
LUMINOSA,BOGLIOLO,Atletica,LUMINOSA BOGLIOLO
ANNA,BONGIORNI,Atletica,ANNA BONGIORNI
GIORGIA,BORDIGNON,Pesi,GIORGIA BORDIGNON
SUSANNA,BORDONE,Sport Equestri,SUSANNA BORDONE
REBECCA,BORGA,Atletica,REBECCA BORGA
CATERINA,BOSETTI,Pallavolo,CATERINA BOSETTI
VIVIANA,BOTTARO,Karate,VIVIANA BOTTARO
LUCA,BRAIDOT,Ciclismo,LUCA BRAIDOT
STEFANO,BRECCIAROLI,Sport Equestri,STEFANO BRECCIAROLI
RACHELE,BRUNI,Nuoto di Fondo,RACHELE BRUNI
ROBERTA,BRUNI,Atletica,ROBERTA BRUNI
FEDERICO,BURDISSO,Nuoto,FEDERICO BURDISSO
SAMUELE,BURGO,Canoa,SAMUELE BURGO
LUIGI,BUSÀ,Karate,LUIGI BUSÀ
MATTIA,BUSATO,Karate,MATTIA BUSATO
ILARIA,CACCIAMANI,Softball,ILARIA CACCIAMANI
CHIARA,CAINERO,Tiro a Volo,CHIARA CAINERO
GIULIO,CALABRÒ,Vela,GIULIO CALABRÒ
BEATRICE,CALLEGARI,Nuoto Sincronizzato,BEATRICE CALLEGARI
MATTIA,CAMBONI,Vela,MATTIA CAMBONI
TEODORICO,CAPORASO,Atletica,TEODORICO CAPORASO
ADRIAN IGNACIO,CARAMBULA RAURICH,Beach Volley,ADRIAN IGNACIO CARAMBULA RAURICH
MARTINA RITA,CARAMIGNOLI,Nuoto,MARTINA RITA CARAMIGNOLI
ANGELA,CARINI,Pugilato,ANGELA CARINI
GIACOMO,CARINI,Nuoto,GIACOMO CARINI
EMILY PATRICIA,CAROSONE,Softball,EMILY PATRICIA CAROSONE
MARTINA,CARRARO,Nuoto,MARTINA CARRARO
DAMIANO,CARUSO,Ciclismo,DAMIANO CARUSO
BIANCA,CARUSO,Vela,BIANCA CARUSO
TAMMARO,CASSANDRO,Tiro a Volo,TAMMARO CASSANDRO
ANDREA,CASSARÀ,Scherma,ANDREA CASSARÀ
MATTEO,CASTALDO,Canottaggio,MATTEO CASTALDO
ARIANNA,CASTIGLIONI,Nuoto,ARIANNA CASTIGLIONI
MARTA,CAVALLI,Ciclismo,MARTA CAVALLI
DOMIZIANA,CAVANNA,Nuoto Sincronizzato,DOMIZIANA CAVANNA
SOFIA,CECCARELLO,Tiro a Segno,SOFIA CECCARELLO
ELISA,CECCHETTI,Softball,ELISA CECCHETTI
GRETA,CECCHETTI,Softball,GRETA CECCHETTI
THOMAS,CECCON,Nuoto,THOMAS CECCON
MARTINA,CENTOFANTI,Ginnastica,MARTINA CENTOFANTI
MARIA,CENTRACCHIO,Judo,MARIA CENTRACCHIO
LINDA,CERRUTI,Nuoto Sincronizzato,LINDA CERRUTI
FEDERICA,CESARINI,Canottaggio,FEDERICA CESARINI
FRANK,CHAMIZO MARQUEZ,Lotta,FRANK CHAMIZO MARQUEZ
TOMMASO,CHELLI,Tiro a Segno,TOMMASO CHELLI
MARIA BENEDICTA,CHIGBOLU,Atletica,MARIA BENEDICTA CHIGBOLU
CRISTINA,CHIRICHELLA,Pallavolo,CRISTINA CHIRICHELLA
LUCA,CHIUMENTO,Canottaggio,LUCA CHIUMENTO
MATTEO,CIAMPI,Nuoto,MATTEO CIAMPI
GIULIO,CICCONE,Ciclismo,GIULIO CICCONE
GABRIELE,CIMINI,Scherma,GABRIELE CIMINI
ERICA,CIPRESSA,Scherma,ERICA CIPRESSA
MASSIMO,COLACI,Pallavolo,MASSIMO COLACI
NADIR,COLLEDANI,Ciclismo,NADIR COLLEDANI
LUCREZIA,COLOMBOTTO ROSSO,Golf,LUCREZIA COLOMBOTTO ROSSO
SANTO,CONDORELLI,Nuoto,SANTO CONDORELLI
CHIARA,CONSOLINI,Basket 3x3,CHIARA CONSOLINI
SIMONE,CONSONNI,Ciclismo,SIMONE CONSONNI
ABRAHAM,CONYEDO RUANO,Lotta,ABRAHAM CONYEDO RUANO
ANGELO,CRESCENZO,Karate,ANGELO CRESCENZO
YEMANEBERHAN,CRIPPA,Atletica,YEMANEBERHAN CRIPPA
MARTINA,CRISCIO,Scherma,MARTINA CRISCIO
LUCA,CURATOLI,Scherma,LUCA CURATOLI
ILARIA,CUSINATO,Nuoto,ILARIA CUSINATO
RAE LIN MARIE,D'ALIE,Basket 3x3,RAE LIN MARIE D'ALIE
ALICE,D'AMATO,Ginnastica,ALICE D'AMATO
ASIA,D'AMATO,Ginnastica,ASIA D'AMATO
PAOLO,DAL MOLIN,Atletica,PAOLO DAL MOLIN
ANDREA,DALLAVALLE,Atletica,ANDREA DALLAVALLE
ANNA,DANESI,Pallavolo,ANNA DANESI
MAURO,DE FILIPPIS,Tiro a Volo,MAURO DE FILIPPIS
GIOVANNI,DE GENNARO,Canoa,GIOVANNI DE GENNARO
MONICA,DE GENNARO,Pallavolo,MONICA DE GENNARO
MARCO,DE LUCA,Atletica,MARCO DE LUCA
MARCO,DE NICOLO,Tiro a Segno,MARCO DE NICOLO
MARCO,DE TULLIO,Nuoto,MARCO DE TULLIO
FRANCESCA,DEIDDA,Nuoto Sincronizzato,FRANCESCA DEIDDA
FEDERICA,DEL BUONO,Atletica,FEDERICA DEL BUONO
MARCO,DEL LUNGO,Pallanuoto,MARCO DEL LUNGO
VITO,DELL'AQUILA,Taekwondo,VITO DELL'AQUILA
DARIYA,DERKACH,Atletica,DARIYA DERKACH
ESEOSA FOSTINE,DESALU,Atletica,ESEOSA FOSTINE DESALU
GABRIELE,DETTI,Nuoto,GABRIELE DETTI
COSTANZA,DI CAMILLO,Nuoto Sincronizzato,COSTANZA DI CAMILLO
STEFANO,DI COLA,Nuoto,STEFANO DI COLA
MARCO,DI COSTANZO,Canottaggio,MARCO DI COSTANZO
FRANCESCO,DI FULVIO,Pallanuoto,FRANCESCO DI FULVIO
ELISA MARIA,DI LAZZARO,Atletica,ELISA MARIA DI LAZZARO
ELENA,DI LIDDO,Nuoto,ELENA DI LIDDO
GENNARO,DI MAURO,Canottaggio,GENNARO DI MAURO
GIANCARLA,DIMICH TREVISAN,Atletica,GIANCARLA DIMICH TREVISAN
VINCENZO,DOLCE,Pallanuoto,VINCENZO DOLCE
ZAYNAB,DOSSO,Atletica,ZAYNAB DOSSO
AGNESE,DURANTI,Ginnastica,AGNESE DURANTI
OSCAR GONZALO,ECHENIQUE,Pallanuoto,OSCAR GONZALO ECHENIQUE
LUDOVICO,EDALLI,Ginnastica,LUDOVICO EDALLI
PAOLA OGECHI,EGONU,Pallavolo,PAOLA OGECHI EGONU
YASSINE,EL FATHAOUI,Atletica,YASSINE EL FATHAOUI
GIOVANNA,EPIS,Atletica,GIOVANNA EPIS
SARA,ERRANI,Tennis,SARA ERRANI
ARIANNA,ERRIGO,Scherma,ARIANNA ERRIGO
LEONARDO,FABBRI,Atletica,LEONARDO FABBRI
SARAH LUISA,FAHR,Pallavolo,SARAH LUISA FAHR
GIOVANNI,FALOCI,Atletica,GIOVANNI FALOCI
AMANDA LYNN,FAMA,Softball,AMANDA LYNN FAMA
FRANCESCA,FANGIO,Nuoto,FRANCESCA FANGIO
SARA,FANTINI,Atletica,SARA FANTINI
GIACOMO,FANTONI,Ciclismo,GIACOMO FANTONI
