PMID,Title,publication_date
33975329,Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Vaccination in Pregnancy: Measures of Immunity and Placental Histopathology,5/12/2021
33975232,"Synthesis, molecular docking, and in silico ADMET studies of 4-benzyl-1-(2,4,6-trimethyl-benzyl)-piperidine: Potential Inhibitor of SARS-CoV2",5/12/2021
33975205,In-hospital fatality and venous thromboembolism during the first and second COVID-19 waves at a center opting for standard-dose thromboprophylaxis,5/12/2021
33975130,Out-of-hospital cardiac arrest volumes and characteristics during the COVID-19 pandemic,5/12/2021
33975077,Validating and implementing cardiac telemetry for continuous QTc monitoring: A novel approach to increase healthcare personnel safety during the COVID-19 pandemic,5/12/2021
33975028,"Rhabdomyolysis in Severe COVID-19: Male Sex, High BMI, and Prone Positioning Confer High Risk",5/12/2021
33975023,"Commentary on Eosinophilic inflammation, COVID-19, and asthma - are inhaled corticosteroids the missing link?",5/12/2021
33974985,The Continuing Impact of the COVID-19 on Neurosurgical Training at 1-Year Mark: Results of a Nationwide Survey of Neurosurgery Residents in Turkey,5/12/2021
33974959,The intertwined expansion of telehealth and buprenorphine access from a prescriber hub,5/12/2021
33974910,Structural insight into SARS-CoV-2 neutralizing antibodies and modulation of syncytia,5/12/2021
33974890,Gene selection using hybrid dragonfly black hole algorithm: a case study on RNA-seq COVID-19 data,5/12/2021
33974846,Systematic functional analysis of SARS-CoV-2 proteins uncovers viral innate immune antagonists and remaining vulnerabilities,5/12/2021
33974811,Subacute Thyroiditis in COVID-19 Patients,5/12/2021
33974758,COVID-19 Outbreak Associated With Ice Fishing,5/12/2021
33974652,COVID-19 diagnosis from CT scans and chest X-ray images using low-cost Raspberry Pi,5/12/2021
33974651,The impact of COVID-19 on the clinical trial,5/12/2021
33974637,Inappropriate antibiotic use in the COVID-19 era: Factors associated with inappropriate prescribing and secondary complications. Analysis of the registry SEMI-COVID,5/12/2021
33974628,Is minor surgery safe during the COVID-19 pandemic? A multi-disciplinary study,5/12/2021
33974624,Therapy with lopinavir/ritonavir and hydroxychloroquine is associated with acute kidney injury in COVID-19 patients,5/12/2021
33974616,Neuropsychological & Cognitive Sequelae in COVID-19 Patients,5/12/2021
33974615,Potential Heart Problems in Convalescent COVID-19 Children: Alert from a Cuban Study,5/12/2021
33974614,Implications of Low-grade Inflammation in SARS-CoV-2 Immunopathology,5/12/2021
33974611,Clinical-Epidemiological Characteristics of the First Patients Diagnosed with COVID-19 in Cuba,5/12/2021
33974610,"Monoclonal Antibodies vs COVID-19: Eduardo Ojito-Magaz MS General Director, Molecular Immunology Center",5/12/2021
33974609,Persons with Substance Abuse Disorders and Other Addictions: Coping with the COVID-19 Pandemic,5/12/2021
33974608,An Experience with Cuban Biotech's Nasalferon to Prevent SARS-COV-2 Infections in International Travelers and their Contacts,5/12/2021
33974607,"COVID-19 Requires Innovation, Regulation and Rigor: Amaylid Arteaga-García MD MS Director, National Clinical Trials Coordinating Center (CENCEC)",5/12/2021
33974605,COVID-19 Wake-up Call: Equity or Else,5/12/2021
33974566,Mice with induced pulmonary morbidities display severe lung inflammation and mortality following exposure to SARS-CoV-2,5/12/2021
33974565,"What should define a SARS-CoV-2 ""breakthrough"" infection?",5/12/2021
33974559,A randomized double-blind controlled trial of convalescent plasma in adults with severe COVID-19,5/12/2021
33974535,"Cross-Sectional Serosurvey of Companion Animals Housed with SARS-CoV-2-Infected Owners, Italy",5/12/2021
33974523,Satisfaction with online learning in the new normal: perspective of students and faculty at medical and health sciences colleges,5/12/2021
33974497,Perspectives on the use and risk of adverse events associated with cytokine-storm targeting antibodies and challenges associated with development of novel monoclonal antibodies for the treatment of COVID-19 clinical cases,5/12/2021
33974494,Recurrence of primary cutaneous CD30-positive lymphoproliferative disorder following COVID-19 vaccination,5/12/2021
33974441,Brain Connectivity and COVID-19,5/12/2021
33974311,A case of a pregnant patient with COVID-19 infection treated with emergency c-section and extracorporeal membrane oxygenation,5/12/2021
33974301,"SARS-CoV-2 prevalence, maternal and perinatal outcomes among pregnant women admitted for delivery: Experience from Covid-19 dedicated maternity hospital in Jammu, Jammu and Kashmir (India)",5/12/2021
33974296,Comparative Analyses of ACE2 and TMPRSS2 gene: Implications for the Risk for Which Vertebrate Animals Are Susceptible to SARS-CoV-2,5/12/2021
33974276,Complement levels at admission as a reflection of Coronavirus Disease 19 (COVID-19) severity state,5/12/2021
33974239,Pulmonary Therapy Podcast-COVID-19: Research and Real-World Experiences from the Editorial Board,5/12/2021
33974168,PositiveLinks and the COVID-19 Response: Importance of Low-Barrier Messaging for PLWH in Non-urban Virginia in a Crisis,5/12/2021
33974109,Limiting the areas inspected by lung ultrasound leads to an underestimation of COVID-19 patients' condition,5/12/2021
33974107,"If not now, when? A clinical perspective on the unprecedented challenges facing ICUs during the COVID-19 pandemic",5/12/2021
33974106,"Natural history, trajectory, and management of mechanically ventilated COVID-19 patients in the United Kingdom",5/12/2021
33974053,Global Incidence of Neurological Manifestations Among Patients Hospitalized With COVID-19-A Report for the GCS-NeuroCOVID Consortium and the ENERGY Consortium,5/12/2021
33974035,"A Next-Generation Rapid, Accurate SARS-CoV-2 Antibody Test",5/12/2021
33974012,Even Partial COVID-19 Vaccination Protects Nursing Home Residents,5/12/2021
33973935,Does Pandemic Crisis Mean Education Crisis? The Chicago Academic Plastic Surgery Collaborative Response to COVID-19,5/12/2021
33973932,"Association Between the ""COVID-19 Occupational Vulnerability Index"" and COVID-19 Severity and Sequelae Among Hospital Employees",5/12/2021
33973931,Work and Non-Work Sickness Presenteeism: The Role of Workplace COVID-19 Climate,5/12/2021
33973927,"Nurses' and Physicians' Distress, Burnout, and Coping Strategies During COVID-19: Stress and Impact on Perceived Performance and Intentions to Quit",5/12/2021
33973912,An Eye on COVID-19: A Meta-analysis of Positive Conjunctival Reverse Transcriptase-Polymerase Chain Reaction and SARS-CoV-2 Conjunctivitis Prevalence,5/12/2021
33973911,Letter to the Editor: The Impact of COVID-19 on the Ophthalmic Pharmaceutical Supply,5/12/2021
33973880,An Agitated Patient With COVID-19 Infection and Early-onset Alzheimer Disease,5/12/2021
33973824,Implementing a Review Process to Facilitate and Prioritize COVID-19 Research: Staying One Step Ahead of the Pandemic,5/12/2021
33973805,Activation of Interleukin-1β Release and Pyroptosis by Transmissible Gastroenteritis Virus Is Dependent on the NOD-Like Receptor Protein 3 Inflammasome in Porcine Intestinal Epithelial Cell Line,5/12/2021
33973766,CRISPR/Cas12a-Based Versatile Method for Checking Quantitative Polymerase Chain Reaction Samples with Cycles of Threshold Values in the Gray Zone,5/12/2021
33973673,The prognostic significance of electrocardiography findings in patients with coronavirus disease 2019: A retrospective study,5/12/2021
33973666,Correlation of echocardiographic parameters in prone and supine positions in normal adults using a novel approach,5/12/2021
33973494,Ventilation Assessment by Carbon Dioxide Levels in Dental Treatment Rooms,5/12/2021
33973411,The cancer patient's perspective of COVID-19-induced distress-A cross-sectional study and a longitudinal comparison of HRQOL assessed before and during the pandemic,5/12/2021
33973389,Disruptions in Rheumatology Care and the Rise of Telehealth in Response to the COVID19 Pandemic in a Community Practice-Based Network,5/12/2021
33973377,Impact of the COVID-19 pandemic on the employment of Canadian young adults with rheumatic disease: longitudinal survey findings,5/12/2021
33973313,Drug-induced organ injury in coronavirus disease 2019 pharmacotherapy: Mechanisms and challenges in differential diagnosis and potential protective strategies,5/12/2021
33973268,COVID-19 vaccine hesitancy among women leaving jails: A qualitative study,5/12/2021
33973262,ACE2-Based Decoy Receptors for SARS Coronavirus 2,5/12/2021
33973241,Five Years and Moving Forward: A Successful Joint Academic-Practice Public Partnership to Improve the Health of Hawaii's Schoolchildren,5/12/2021
33973221,Health and Art (HEART): Integrating Science and Art to Fight COVID-19,5/12/2021
33973220,Interdisciplinary Approaches to COVID-19,5/12/2021
33973219,Socialization During the COVID-19 Pandemic: The Role of Social and Scientific Networks During Social Distancing,5/12/2021
33973218,"A Borderless Solution Is Needed for A Borderless Complexity, Like COVID-19, the Universal Invader",5/12/2021
33973217,COVID-19 Pandemic: The Influence of Culture and Lessons for Collaborative Activities,5/12/2021
33973216,Answering the Challenge of COVID-19 Pandemic Through Innovation and Ingenuity,5/12/2021
33973215,Retrieval and Investigation of Data on SARS-CoV-2 and COVID-19 Using Bioinformatics Approach,5/12/2021
33973214,COVID-19 and Its Global Economic Impact,5/12/2021
