Unnamed: 0,PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,title,journal,publication_date,labels,x_coord,y_coord
61,33973203,The Implications of COVID-19 to Ophthalmology,"Lai THT, Tang EWH, Li KKW.",Adv Exp Med Biol. 2021;1318:637-655. doi: 10.1007/978-3-030-63761-3_35.,Lai THT,Adv Exp Med Biol,2021,The Implications of COVID-19 to Ophthalmology.,Advances in experimental medicine and biology,5/12/2021,Not Assigned,6.218434,3.0449655
2924,33583231,Paracentral acute middle maculopathy in the setting of central retinal artery occlusion following COVID-19 diagnosis,"Turedi N, Onal Gunay B.",Eur J Ophthalmol. 2021 Feb 14:1120672121995347. doi: 10.1177/1120672121995347. Online ahead of print.,Turedi N,Eur J Ophthalmol,2021,Paracentral acute middle maculopathy in the setting of central retinal artery occlusion following COVID-19 diagnosis.,European journal of ophthalmology,2/16/2021,Not Assigned,6.214305,3.0289438
1668,33781126,Recurrent keratoconjunctivitis as the sole manifestation of COVID-19 infection: A case report,"Hutama SA, Alkaff FF, Intan RE, Maharani CD, Indriaswati L, Zuhria I.",Eur J Ophthalmol. 2021 Mar 29:11206721211006583. doi: 10.1177/11206721211006583. Online ahead of print.,Hutama SA,Eur J Ophthalmol,2021,Recurrent keratoconjunctivitis as the sole manifestation of COVID-19 infection: A case report.,European journal of ophthalmology,3/31/2021,Not Assigned,6.259618,3.02331
3889,33353419,A case of bilateral unusual retinal hemorrhages in a COVID-19 patient,"Monferrer-Adsuara C, Castro-Navarro V, González-Girón N, Remolí-Sargues L, Ortiz-Salvador M, Montero-Hernández J, Cervera-Taulet E.",Eur J Ophthalmol. 2020 Dec 22:1120672120984381. doi: 10.1177/1120672120984381. Online ahead of print.,Monferrer-Adsuara C,Eur J Ophthalmol,2020,A case of bilateral unusual retinal hemorrhages in a COVID-19 patient.,European journal of ophthalmology,12/24/2020,Not Assigned,6.227612,3.0227218
2201,33710069,COVID-19-related Ocular Hypertension Secondary to Anterior Uveitis as Part of a Multisystemic Inflammatory Syndrome,"Alonso RS, Alonso FOM, Fernandes BF, Ecard VO, Ventura MP.",J Glaucoma. 2021 May 1;30(5):e256-e258. doi: 10.1097/IJG.0000000000001835.,Alonso RS,J Glaucoma,2021,COVID-19-related Ocular Hypertension Secondary to Anterior Uveitis as Part of a Multisystemic Inflammatory Syndrome.,Journal of glaucoma,3/13/2021,Not Assigned,6.2063866,3.0136504
4307,33267645,Serpiginous choroiditis presenting after SARS-CoV-2 infection: A new immunological trigger?,"Providência J, Fonseca C, Henriques F, Proença R.",Eur J Ophthalmol. 2020 Dec 2:1120672120977817. doi: 10.1177/1120672120977817. Online ahead of print.,Providência J,Eur J Ophthalmol,2020,Serpiginous choroiditis presenting after SARS-CoV-2 infection: A new immunological trigger?,European journal of ophthalmology,12/4/2020,Not Assigned,6.243216,3.0120568
4492,33225728,Atypical bilateral acute retinal necrosis in a coronavirus disease 2019 positive immunosuppressed patient,"Gupta A, Dixit B, Stamoulas K, Akshikar R.",Eur J Ophthalmol. 2020 Nov 22:1120672120974941. doi: 10.1177/1120672120974941. Online ahead of print.,Gupta A,Eur J Ophthalmol,2020,Atypical bilateral acute retinal necrosis in a coronavirus disease 2019 positive immunosuppressed patient.,European journal of ophthalmology,11/24/2020,Not Assigned,6.2006087,3.0026314
5483,32947368,BRANCH RETINAL ARTERY OCCLUSION WITH PARACENTRAL ACUTE MIDDLE MACULOPATHY PRESUMABLY RELATED TO HEAVY CANNABIS USE,"Ramtohul P, Bailey Freund K, Sarraf D.",Retin Cases Brief Rep. 2020 Sep 16. doi: 10.1097/ICB.0000000000001051. Online ahead of print.,Ramtohul P,Retin Cases Brief Rep,2020,BRANCH RETINAL ARTERY OCCLUSION WITH PARACENTRAL ACUTE MIDDLE MACULOPATHY PRESUMABLY RELATED TO HEAVY CANNABIS USE.,Retinal cases & brief reports,9/19/2020,Not Assigned,6.119233,2.997175
2033,33734193,Endogenous endophthalmitis in the setting of Covid-19 infection: A Case Series,"Bilgic A, Sudhalkar A, Gonzalez-Cortes JH, March de Ribot F, Yogi R, Kodjikian L, Mathis T.",Retina. 2021 Mar 9. doi: 10.1097/IAE.0000000000003168. Online ahead of print.,Bilgic A,Retina,2021,Endogenous endophthalmitis in the setting of Covid-19 infection: A Case Series.,"Retina (Philadelphia, Pa.)",3/19/2021,Not Assigned,6.185809,2.9953566
628,33927148,Optic Nerve Head Vessel Density Assessment in Recovered COVID-19 Patients: A Prospective Study Using Optical Coherence Tomography Angiography,"Burgos-Blasco B, Güemes-Villahoz N, Vidal-Villegas B, Garcia-Feijoo J, Donate-Lopez J, Martin-Sanchez FJ, Gonzalez-Armengol JJ, Mendez-Hernandez CD.",J Glaucoma. 2021 Apr 28. doi: 10.1097/IJG.0000000000001858. Online ahead of print.,Burgos-Blasco B,J Glaucoma,2021,Optic Nerve Head Vessel Density Assessment in Recovered COVID-19 Patients: A Prospective Study Using Optical Coherence Tomography Angiography.,Journal of glaucoma,5/1/2021,Not Assigned,6.1596336,2.9932096
